"name","dept","area","count","adjustedcount","year"
Bodo Rosenhahn,University of Hannover,iccv,1.0,0.25,2009
Piotr Skowron 0001,University of Warsaw,ec,1.0,0.33333,2019
Niranjan Balasubramanian,Stony Brook University,acl,2.0,0.45,2021
Daniel M. Kane,Univ. of California - San Diego,icml,1.0,0.16667,2017
Yannis E. Ioannidis,University of Athens,sigmod,1.0,0.5,1989
Feiping Nie 0001,NWPU,ijcai,1.0,0.25,2009
Ronald L. Graham,Univ. of California - San Diego,dac,1.0,0.2,2006
Chenhao Tan,University of Chicago,www,2.0,0.41667,2019
Betty H. C. Cheng,Michigan State University,icse,1.0,0.5,1999
Kenny Q. Zhu,Shanghai Jiao Tong University,www,2.0,0.83333,2021
Rina Dechter,Univ. of California - Irvine,ijcai,2.0,0.7,1995
Richard Chapman,Auburn University,pldi,1.0,0.5,1990
Dan Garber,Technion,icml,1.0,0.33333,2017
Nasser M. Nasrabadi,West Virginia University,eccv,1.0,0.25,2012
Trevor N. Mudge,University of Michigan,micro,1.0,0.33333,2009
Tai Sing Lee,Carnegie Mellon University,nips,1.0,0.5,1999
Danfeng Zhang,Pennsylvania State University,oakland,1.0,0.2,2019
Sai-Kit Yeung,HKUST,siggraph,1.0,0.2,2016
Chih-Ya Shen,National Tsing Hua University,kdd,1.0,0.25,2012
David Yarowsky,Johns Hopkins University,acl,1.0,0.5,2008
Xilin Chen 0001,Chinese Academy of Sciences,cvpr,3.0,0.65,2015
Soumen Chakrabarti,IIT Bombay,vldb,1.0,0.25,1997
Qiang Yang 0001,HKUST,kdd,1.0,0.25,2015
Matthew Kay 0001,Northwestern University,ubicomp,1.0,0.14286,2016
Lakshminarayanan Subramanian,New York University,kdd,1.0,0.25,2017
Kang Liu 0001,Chinese Academy of Sciences,ijcai,1.0,0.33333,2017
P. Sadayappan,University of Utah,sc,2.0,0.45,2006
Eunho Yang,KAIST,icml,1.0,0.5,2011
Charless C. Fowlkes,Univ. of California - Irvine,cvpr,1.0,0.25,2020
C. Lee Giles,Pennsylvania State University,emnlp,2.0,0.58333,2015
Zhongfei Zhang,Binghamton University,iccv,1.0,0.2,2007
Kun Zhou 0001,Zhejiang University,siggraph,2.0,0.34286,2021
Bernhard Pfahringer,University of Waikato,icml,1.0,1.0,1995
Sangtae Ha,University of Colorado Boulder,sigcomm,1.0,0.2,2012
Munmun De Choudhury,Georgia Institute of Technology,chiconf,3.0,1.0333,2017
Vishwanathan Mohan,University of Essex,iros,1.0,0.25,2009
Sven Koenig,University of Southern California,ijcai,1.0,0.5,2005
Stergios I. Roumeliotis,University of Minnesota,iros,2.0,0.75,2009
Arie van Deursen,TU Delft,ase,1.0,0.33333,2017
Sanja Fidler,University of Toronto,cvpr,3.0,0.78333,2013
Ronen I. Brafman,Ben-Gurion University of the Negev,iros,1.0,0.33333,2016
Hanne Riis Nielson,DTU,popl,1.0,0.5,2000
Sven J. Dickinson,University of Toronto,rss,1.0,0.2,2021
Guang-Zhong Yang,Imperial College London,cvpr,1.0,0.125,2021
Robert Krauthgamer,Weizmann Institute of Science,stoc,1.0,0.33333,2012
Zi Huang,University of Queensland,icde,1.0,0.16667,2020
Chun Jason Xue,City University of Hong Kong,cvpr,1.0,0.2,2021
David C. Parkes,Harvard University,ccs,1.0,0.25,2009
Dmitry Chistikov,University of Warwick,lics,1.0,0.5,2020
Preslav Nakov,Qatar Computing Research Institute,emnlp,1.0,0.14286,2015
Ioannis Konstas,Heriot-Watt University,emnlp,2.0,0.5,2018
Claude Crépeau,McGill University,eurocrypt,2.0,1.5,1997
Insup Lee,University of Pennsylvania,dac,2.0,0.75,2010
Kevin Skadron,University of Virginia,isca,2.0,0.4,2014
Richard S. Zemel,Columbia University,nips,2.0,0.75,2004
Qiang Yang 0001,HKUST,icse,1.0,0.5,1996
Frédérique Laforest,Université Jean Monnet,naacl,1.0,0.33333,2018
Christopher G. Atkeson,Carnegie Mellon University,iros,3.0,1.0,2003
Brian Curless,University of Washington,cvpr,1.0,0.33333,2015
Derek F. Reilly,Dalhousie University,chiconf,1.0,0.25,2017
Nigel Shadbolt,University of Oxford,ijcai,1.0,0.33333,2007
Martin Tompa,University of Washington,recomb,1.0,0.5,1998
Mikkel Thorup,University of Copenhagen,focs,1.0,0.5,2006
Dilma Da Silva,Texas A&M University,usenixatc,1.0,0.33333,2021
Raymond J. Mooney,University of Texas at Austin,kdd,1.0,0.33333,2004
Marcelo Finger,USP,aaai,1.0,0.5,2017
Amit Bermano,Tel Aviv University,siggraph-asia,2.0,0.5,2020
Weisi Lin,Nanyang Technological University,iros,1.0,0.33333,2015
Leonid Sigal,University of British Columbia,siggraph,1.0,0.14286,2015
David M. Mount,University of Maryland - College Park,focs,1.0,0.5,1987
Gordon Wetzstein,Stanford University,siggraph,2.0,0.36667,2017
Yu Zhang 0027,HUST,usenixatc,1.0,0.14286,2018
Willem Visser,Stellenbosch University,issta,1.0,0.33333,2007
Alessandro Biondi,Scuola Superiore Sant'Anna,rtas,1.0,0.33333,2016
Benjamin Recht,Univ. of California - Berkeley,icml,2.0,0.58333,2021
Nicholas S. Flann,Utah State University,nips,1.0,1.0,1993
Christoph Koch 0001,EPFL,pods,1.0,1.0,2006
Sergey Bereg,University of Texas at Dallas,cav,1.0,0.25,2014
Vladimir B. Bajic,KAUST,sc,1.0,0.33333,2011
Michael J. Freedman,Princeton University,nsdi,1.0,0.33333,2005
Xiao-Dan Zhu,Queen’s University,ijcai,1.0,0.2,2016
Sara Cohen,Hebrew University of Jerusalem,pods,1.0,0.5,2005
Angela Yao,University of Bonn,cvpr,1.0,0.33333,2014
Richard J. Lipton,Georgia Institute of Technology,stoc,3.0,1.5,1980
Benjamin Bach,University of Edinburgh,chiconf,1.0,0.25,2017
Abhradeep Thakurta,Univ. of California - Santa Cruz,nips,1.0,0.5,2013
Martin E. Dyer,University of Leeds,stoc,1.0,0.33333,2005
Jeff A. Bilmes,University of Washington,aaai,1.0,0.33333,2010
Michael Backes 0001,CISPA Helmholtz Center,ndss,2.0,0.30952,2019
Arvind Krishnamurthy,University of Washington,usenixatc,2.0,0.41667,2016
Bernd Bickel,IST Austria,siggraph-asia,2.0,0.27778,2013
Gillian R. Hayes,Univ. of California - Irvine,chiconf,1.0,0.16667,2020
Shivani Agarwal 0001,University of Pennsylvania,ijcai,1.0,0.33333,2016
Tei-Wei Kuo,City University of Hong Kong,fast,1.0,0.125,2021
Danfeng Yao,Virginia Tech,imc,1.0,0.2,2018
Emanuele Rodolà,Sapienza University of Rome,cvpr,1.0,0.33333,2010
James Caverlee,Texas A&M University,icde,1.0,0.2,2018
Uriel Feige,Weizmann Institute of Science,wine,1.0,0.25,2005
Zenglin Xu,Harbin Institute of Technology,ijcai,1.0,0.25,2016
Ran Canetti,Boston University,crypto,1.0,0.33333,1996
Tian He 0001,University of Minnesota,sensys,1.0,0.25,2010
Yoshiyuki Sankai,University of Tsukuba,iros,1.0,0.33333,2009
Hongzhi Wu,Zhejiang University,siggraph-asia,1.0,0.2,2016
Christos H. Papadimitriou,Columbia University,focs,1.0,0.25,2002
Shing-Chi Cheung,HKUST,popl,1.0,0.2,2016
Tony Jebara,Columbia University,nips,1.0,0.33333,2019
Jing Zhang 0001,Renmin University of China,sigir,1.0,0.16667,2021
Bart P. Knijnenburg,Clemson University,vr,1.0,0.16667,2020
Jingyi Yu,ShanghaiTech University,eccv,2.0,0.45,2018
Michael Schapira,Hebrew University of Jerusalem,sigcomm,2.0,0.36111,2020
Eric P. Xing,MBZUAI,cvpr,2.0,0.5,2016
Jian Li 0015,Tsinghua University,vldb,1.0,0.5,2010
Juho Kannala,Aalto University,eccv,1.0,0.25,2018
Shai Shalev-Shwartz,Hebrew University of Jerusalem,ijcai,1.0,0.33333,2011
Srinivas Akella,UNC - Charlotte,icra,2.0,0.83333,2004
Jun Zhu 0001,Tsinghua University,aaai,1.0,0.2,2021
Surender Baswana,IIT Kanpur,soda,1.0,0.5,2004
Kathrin Maria Gerling,KU Leuven,chiconf,2.0,0.36667,2016
Boi Faltings,EPFL,iros,1.0,0.5,1991
Tamara Sumner,University of Colorado Boulder,emnlp,1.0,0.33333,2015
Charles Zhang,HKUST,icse,1.0,1.0,2009
Ahmed Abdelali,Qatar Computing Research Institute,naacl,1.0,0.2,2019
Frank Keller,University of Edinburgh,aaai,1.0,0.33333,2021
Ramamohan Paturi,Univ. of California - San Diego,focs,1.0,0.5,1988
Sungjoon Choi,Korea University,cvpr,1.0,0.33333,2015
Naren Ramakrishnan,Virginia Tech,aaai,2.0,0.5,2013
Tong Zhang 0001,HKUST,nips,1.0,0.5,2005
Jingyi Yu,ShanghaiTech University,eccv,1.0,0.16667,2020
Torsten Möller,University of Vienna,vis,2.0,0.66667,2001
Daisuke Takahashi,University of Tsukuba,sc,1.0,0.14286,2005
Valeria Bertacco,University of Michigan,iccad,2.0,0.66667,2011
Anca D. Dragan,Univ. of California - Berkeley,icra,1.0,0.25,2018
Nikolay Atanasov,Univ. of California - San Diego,icra,4.0,1.1667,2020
LinLin Shen,Shenzhen University,aaai,1.0,0.25,2016
Piyush Srivastava,Tata Inst. of Fundamental Research,focs,1.0,0.33333,2013
Yongzhen Huang,Chinese Academy of Sciences,nips,1.0,0.25,2013
Xingliang Yuan,Monash University,icde,1.0,0.16667,2019
Farhad Kamangar,University of Texas at Arlington,nips,1.0,0.2,2011
Jonathan R. Ullman,Northeastern University,nips,3.0,0.78333,2020
Arnab Bhattacharya 0001,IIT Kanpur,vldb,1.0,0.25,2018
Fangzhen Lin,HKUST,ijcai,1.0,0.5,2007
Radha Jagadeesan,DePaul University,lics,1.0,0.25,2002
Vladimir Kolmogorov,IST Austria,iccv,1.0,0.5,2005
Sara B. Kiesler,Carnegie Mellon University,chiconf,1.0,0.33333,2018
Hongzhi Wang 0001,Harbin Institute of Technology,sigmod,1.0,0.25,2016
Qi Qi,BUPT,icml,1.0,0.2,2019
Qi Alfred Chen,Univ. of California - Irvine,sigmetrics,1.0,0.16667,2021
Shi Li 0001,University at Buffalo,focs,1.0,0.25,2010
Muhammet Mustafa Ozdal,Bilkent University,iccad,1.0,0.2,2013
Geoffrey M. Voelker,Univ. of California - San Diego,imc,2.0,0.4,2006
Nigel Davies 0001,Lancaster University,chiconf,1.0,0.090909,2021
Mong-Li Lee,National University of Singapore,sigmod,1.0,0.2,2000
Dimitrios Gunopulos,University of Athens,vldb,2.0,0.45,2006
Thatchaphol Saranurak,University of Michigan,soda,2.0,0.53333,2020
Xiaogang Wang 0001,Chinese University of Hong Kong,cvpr,2.0,0.66667,2007
Shuai Hao 0001,Old Dominion University,ccs,1.0,0.33333,2016
Manish Parashar,University of Utah,hpdc,1.0,0.5,2003
Justin Hsu,Cornell University,soda,1.0,0.25,2016
Licia Capra,University College London,kdd,1.0,0.5,2011
Xifeng Yan,Univ. of California - Santa Barbara,issta,1.0,0.2,2009
Zhenhua Li 0001,Tsinghua University,vldb,1.0,0.2,2016
Minhyuk Sung,KAIST,siggraph-asia,1.0,0.25,2015
Lance Fortnow,Illinois Institute of Technology,focs,1.0,0.33333,1992
Ren Ng,Univ. of California - Berkeley,siggraph,1.0,0.14286,2002
Nicholas D. Lane,University of Oxford,mobicom,1.0,0.2,2019
Leif Kobbelt,RWTH Aachen,siggraph,1.0,0.25,1998
Michael D. Ernst,University of Washington,pldi,1.0,0.33333,2013
Kamin Whitehouse,University of Virginia,ubicomp,1.0,0.33333,2008
David Walker,Princeton University,nsdi,1.0,0.25,2016
Jianhua Feng,Tsinghua University,sigmod,2.0,0.4,2015
Andrew Markham,University of Oxford,kdd,1.0,0.25,2018
Aaron J. Elmore,University of Chicago,usenixatc,1.0,0.5,2018
Bin Yao 0002,Shanghai Jiao Tong University,icde,2.0,0.36667,2020
Derek Hoiem,Univ. of Illinois at Urbana-Champaign,cvpr,3.0,0.78333,2009
Gerald Q. Maguire Jr.,KTH Royal Institute of Technology,nsdi,1.0,0.14286,2020
Uriel Feige,Weizmann Institute of Science,stoc,1.0,0.5,2001
Farnam Jahanian,Carnegie Mellon University,usenixsec,1.0,0.33333,2008
Shaoping Ma,Tsinghua University,www,4.0,0.61667,2019
Massimiliano Di Penta,University of Sannio,fse,1.0,0.25,2012
Michael J. Fischer,Yale University,oakland,1.0,0.125,2017
Ganesh Gopalakrishnan,University of Utah,asplos,1.0,0.125,2015
Silvio Savarese,Stanford University,eccv,1.0,0.5,2002
Partha P. Talukdar,IISc Bangalore,emnlp,2.0,0.83333,2015
Alan Borning,University of Washington,oopsla,1.0,0.25,2015
Jiang Liu 0001,SUSTech,cvpr,1.0,0.125,2019
Lakshminarayanan Subramanian,New York University,wine,1.0,0.16667,2005
Gruia-Catalin Roman,University of New Mexico,icse,1.0,0.33333,1999
Donald M. Chiarulli,University of Pittsburgh,isca,1.0,0.33333,1984
David Lo 0001,Singapore Management University,icse,1.0,0.2,2010
Toby Jia-Jun Li,University of Notre Dame,mobisys,1.0,0.5,2018
Jorge Sánchez,Universidad Nacional de Córdoba,cvpr,2.0,0.58333,2010
Philippe Langlais,University of Montreal,emnlp,1.0,0.25,2004
Y. Charlie Hu,Purdue University,sigcomm,1.0,0.2,2008
Hsin-Hsi Chen,National Taiwan University,acl,1.0,0.33333,2020
Florentin Wörgötter,University of Göttingen,icra,1.0,0.16667,2013
Yuzhen Ye,Indiana University,recomb,1.0,0.5,2010
Andreas Geiger 0001,University of Tübingen,iros,1.0,0.5,2014
Serafim Batzoglou,Stanford University,recomb,1.0,0.25,2012
Christoforos E. Kozyrakis,Stanford University,isca,1.0,0.2,2014
Pietro Perona,California Institute of Technology,iccv,3.0,0.79167,2019
Adrian Vetta,McGill University,wine,2.0,0.58333,2014
Bernard Chazelle,Princeton University,focs,1.0,1.0,1991
Deng Cai 0001,Zhejiang University,aaai,3.0,0.64286,2012
J. Ian Munro,University of Waterloo,focs,1.0,1.0,1984
Yonatan Belinkov,Technion,acl,3.0,0.66667,2020
Xiaobo Sharon Hu,University of Notre Dame,dac,1.0,0.33333,2002
David Starobinski,Boston University,pets,1.0,0.33333,2019
Joseph Naor,Technion,soda,3.0,0.83333,2014
Bistra Dilkina,University of Southern California,ijcai,1.0,0.2,2017
Daniel Hsu 0001,Columbia University,icml,1.0,0.25,2013
Pang-Ning Tan,Michigan State University,icml,1.0,0.2,2021
Francine Berman,Rensselaer Polytechnic Institute,sc,1.0,0.33333,2002
Manolis Katevenis,University of Crete,hpca,1.0,0.5,1997
Yanxi Liu,Pennsylvania State University,cvpr,1.0,0.5,2000
Xinwen Fu,University of Massachusetts Lowell,oakland,1.0,0.2,2007
Narayanan Vijaykrishnan,Pennsylvania State University,isca,2.0,0.33333,2006
Yinghui Wu,Case Western Reserve University,vldb,3.0,0.78333,2013
Yogesh Singh Rawat,University of Central Florida,eccv,2.0,0.58333,2020
Bo Li 0026,Univ. of Illinois at Urbana-Champaign,cvpr,1.0,0.2,2019
Dmitry Evtyushkin,College of William and Mary,dac,1.0,0.16667,2019
Valerie King,University of Victoria,soda,1.0,0.33333,2003
Michalis Vazirgiannis,AUEB,emnlp,1.0,0.33333,2021
Euiwoong Lee,University of Michigan,soda,2.0,0.66667,2021
Prashant J. Shenoy,University of Massachusetts Amherst,vldb,1.0,0.25,2011
Giovanni Comarela,Universidade Federal de Viçosa,kdd,1.0,0.2,2012
Jean Honorio,Purdue University,icml,1.0,0.5,2010
K. V. Rashmi,Carnegie Mellon University,icml,1.0,0.2,2021
Kurt Keutzer,Univ. of California - Berkeley,ijcai,1.0,0.33333,2019
Chandra Chekuri,Univ. of Illinois at Urbana-Champaign,stoc,1.0,0.5,2013
Qiang Zeng 0001,University of South Carolina,ndss,1.0,0.25,2021
Raghu Meka,Univ. of California - Los Angeles,soda,1.0,0.2,2021
Hao Zheng 0005,University of Central Florida,hpca,1.0,0.33333,2021
Tor M. Aamodt,University of British Columbia,sigmetrics,1.0,0.14286,2003
Abhinav Gupta 0001,Carnegie Mellon University,cvpr,4.0,0.9,2020
Irena Koprinska,University of Sydney,ijcai,1.0,0.16667,2011
Shiqing Ma,Rutgers University,ase,1.0,0.14286,2018
Fabrizio Silvestri,Sapienza University of Rome,icde,1.0,0.2,2007
Yang Wang 0009,Ohio State University,eurosys,1.0,0.25,2021
Jingkuan Song,UESTC,sigir,1.0,0.16667,2020
Massimiliano Di Penta,University of Sannio,icse,2.0,0.33333,2013
Baba C. Vemuri,University of Florida,cvpr,1.0,0.25,2003
Lillian Lee,Cornell University,www,1.0,0.5,2015
Rynson W. H. Lau,City University of Hong Kong,eccv,1.0,0.5,2014
Carsten Lutz,University of Bremen,pods,1.0,0.25,2017
Rui Zhang 0003,University of Melbourne,sigir,1.0,0.25,2021
C. Lee Giles,Pennsylvania State University,nips,1.0,0.33333,2000
Vern Paxson,Univ. of California - Berkeley,imc,2.0,0.41667,2015
Adam Lopez,University of Edinburgh,naacl,1.0,0.33333,2018
Siu-Wing Cheng,HKUST,soda,1.0,0.5,1990
Michael Bailey,Univ. of Illinois at Urbana-Champaign,www,1.0,0.5,2016
Uri M. Ascher,University of British Columbia,icra,2.0,0.66667,1995
Uriel Feige,Weizmann Institute of Science,stoc,1.0,0.5,2011
Michitaka Hirose,University of Tokyo,vr,1.0,0.2,2018
Lee-Ad Gottlieb,Ariel University,soda,1.0,0.33333,2020
Jakob Eriksson,University of Illinois at Chicago,mobisys,1.0,0.25,2006
Leonid Reyzin,Boston University,eurocrypt,1.0,0.2,2016
Michael Collins 0001,Columbia University,emnlp,2.0,0.75,2009
Engin Kirda,Northeastern University,usenixsec,1.0,0.2,2005
Douglas C. Schmidt,Vanderbilt University,rtas,4.0,0.70238,2004
Jiajie Xu 0001,Soochow University,ijcai,1.0,0.16667,2018
Eunho Yang,KAIST,nips,3.0,1.0,2013
Giorgio Grisetti,Sapienza University of Rome,iros,1.0,0.14286,2020
David Peleg,Weizmann Institute of Science,sigcomm,1.0,0.5,1991
Alvin R. Lebeck,Duke University,ics,1.0,0.5,2000
Mihalis Yannakakis,Columbia University,sigmod,1.0,0.5,1990
Chris North 0001,Virginia Tech,vis,1.0,0.16667,2019
David M. Blei,Columbia University,kdd,1.0,0.5,2011
James A. Landay,Stanford University,chiconf,2.0,0.5,2000
Jonathan Roberts 0001,Queensland University of Technology,icra,1.0,0.33333,2009
Tony Givargis,Univ. of California - Irvine,rtss,1.0,0.33333,2003
Ian T. Foster,University of Chicago,sc,2.0,0.45,2007
Jason Dykes,City University of London,vis,1.0,0.5,2020
Dimitrios S. Nikolopoulos,Virginia Tech,asplos,1.0,0.25,2020
Yin Tat Lee,University of Washington,nips,2.0,0.7,2019
Leopoldo E. Bertossi,Carleton University,pods,1.0,1.0,2019
Gabriel J. Brostow,University College London,siggraph-asia,1.0,0.25,2016
Tajana Rosing,Univ. of California - San Diego,aaai,1.0,0.25,2020
John P. Hayes,University of Michigan,iccad,3.0,1.5,1995
Satoshi Matsuoka,Tokyo Institute of Technology,sc,1.0,0.25,2008
Peter Müller 0001,ETH Zurich,oopsla,1.0,0.5,2007
Eric Jonas,University of Chicago,nips,1.0,1.0,2019
Annabelle McIver,Macquarie University,lics,1.0,0.33333,2021
Aniket Kate,Purdue University,ndss,1.0,0.2,2021
Yaron Singer,Harvard University,nips,2.0,0.83333,2015
Daniele Panozzo,New York University,cvpr,2.0,0.27778,2019
Judy Goldsmith,University of Kentucky,focs,1.0,0.5,1986
Ruzena Bajcsy,Univ. of California - Berkeley,ijcai,1.0,0.5,1993
Xiaofang Zhou 0001,University of Queensland,icde,7.0,1.2833,2021
Cristian-Alexandru Staicu,CISPA Helmholtz Center,www,1.0,0.33333,2019
Seda Ogrenci Memik,Northwestern University,dac,1.0,0.33333,2001
M. Balakrishnan,IIT Delhi,dac,1.0,0.33333,2009
Xiangnan Kong,Worcester Polytechnic Institute,kdd,1.0,0.25,2016
Michael J. Carey 0001,Univ. of California - Irvine,sigmod,2.0,0.7,1992
Tamim Asfour,Karlsruhe Institute of Technology,iros,4.0,0.97619,2013
Andrew B. Kahng,Univ. of California - San Diego,dac,1.0,0.25,2008
Shangsong Liang,MBZUAI,www,1.0,0.25,2018
Roger Wattenhofer,ETH Zurich,stoc,1.0,0.33333,2000
Alan L. Yuille,Johns Hopkins University,cvpr,2.0,0.66667,1989
Garrison W. Cottrell,Univ. of California - San Diego,emnlp,1.0,0.25,2019
Zhen Ming (Jack) Jiang,York University,icse,1.0,0.16667,2013
Giuseppe Santucci,Sapienza University of Rome,sigmod,1.0,0.11111,2020
Marcelo Kallmann,Univ. of California - Merced,icra,1.0,0.5,2004
Jiawei Han 0001,Univ. of Illinois at Urbana-Champaign,nips,1.0,0.2,2009
Xin Cao 0001,UNSW,vldb,2.0,0.66667,2010
Philip S. Yu,University of Illinois at Chicago,kdd,1.0,0.25,2004
Walter Binder,Università della Svizzera italiana,www,1.0,0.33333,2010
Ronald G. Dreslinski,University of Michigan,sc,1.0,0.1,2013
Hanspeter Pfister,Harvard University,siggraph,2.0,0.45,2005
Michael C. Yip,Univ. of California - San Diego,icra,1.0,0.5,2015
Jerzy Tiuryn,University of Warsaw,ismb,1.0,0.5,2007
Eelco Visser,TU Delft,oopsla,2.0,0.83333,2011
Nikolaos Laoutaris,IMDEA Networks Institute,imc,1.0,0.33333,2010
Laurent Vanbever,ETH Zurich,sigcomm,1.0,0.1,2014
Raluca A. Popa,Univ. of California - Berkeley,usenixsec,4.0,0.76667,2020
